Dist Code,Year,State Code,State Name,Dist Name,RICE AREA (1000 ha),RICE PRODUCTION (1000 tons),RICE YIELD (Kg per ha),WHEAT AREA (1000 ha),WHEAT PRODUCTION (1000 tons),WHEAT YIELD (Kg per ha),KHARIF SORGHUM AREA (1000 ha),KHARIF SORGHUM PRODUCTION (1000 tons),KHARIF SORGHUM YIELD (Kg per ha),RABI SORGHUM AREA (1000 ha),RABI SORGHUM PRODUCTION (1000 tons),RABI SORGHUM YIELD (Kg per ha),SORGHUM AREA (1000 ha),SORGHUM PRODUCTION (1000 tons),SORGHUM YIELD (Kg per ha),PEARL MILLET AREA (1000 ha),PEARL MILLET PRODUCTION (1000 tons),PEARL MILLET YIELD (Kg per ha),MAIZE AREA (1000 ha),MAIZE PRODUCTION (1000 tons),MAIZE YIELD (Kg per ha),FINGER MILLET AREA (1000 ha),FINGER MILLET PRODUCTION (1000 tons),FINGER MILLET YIELD (Kg per ha),BARLEY AREA (1000 ha),BARLEY PRODUCTION (1000 tons),BARLEY YIELD (Kg per ha),CHICKPEA AREA (1000 ha),CHICKPEA PRODUCTION (1000 tons),CHICKPEA YIELD (Kg per ha),PIGEONPEA AREA (1000 ha),PIGEONPEA PRODUCTION (1000 tons),PIGEONPEA YIELD (Kg per ha),MINOR PULSES AREA (1000 ha),MINOR PULSES PRODUCTION (1000 tons),MINOR PULSES YIELD (Kg per ha),GROUNDNUT AREA (1000 ha),GROUNDNUT PRODUCTION (1000 tons),GROUNDNUT YIELD (Kg per ha),SESAMUM AREA (1000 ha),SESAMUM PRODUCTION (1000 tons),SESAMUM YIELD (Kg per ha),RAPESEED AND MUSTARD AREA (1000 ha),RAPESEED AND MUSTARD PRODUCTION (1000 tons),RAPESEED AND MUSTARD YIELD (Kg per ha),SAFFLOWER AREA (1000 ha),SAFFLOWER PRODUCTION (1000 tons),SAFFLOWER YIELD (Kg per ha),CASTOR AREA (1000 ha),CASTOR PRODUCTION (1000 tons),CASTOR YIELD (Kg per ha),LINSEED AREA (1000 ha),LINSEED PRODUCTION (1000 tons),LINSEED YIELD (Kg per ha),SUNFLOWER AREA (1000 ha),SUNFLOWER PRODUCTION (1000 tons),SUNFLOWER YIELD (Kg per ha),SOYABEAN AREA (1000 ha),SOYABEAN PRODUCTION (1000 tons),SOYABEAN YIELD (Kg per ha),OILSEEDS AREA (1000 ha),OILSEEDS PRODUCTION (1000 tons),OILSEEDS YIELD (Kg per ha),SUGARCANE AREA (1000 ha),SUGARCANE PRODUCTION (1000 tons),SUGARCANE YIELD (Kg per ha),COTTON AREA (1000 ha),COTTON PRODUCTION (1000 tons),COTTON YIELD (Kg per ha),FRUITS AREA (1000 ha),VEGETABLES AREA (1000 ha),FRUITS AND VEGETABLES AREA (1000 ha),POTATOES AREA (1000 ha),ONION AREA (1000 ha),FODDER AREA (1000 ha)
2,2012,14,Chhattisgarh,Bastar,637.8,1341.33,2103.06,1.25,2.47,1976,2.23,1.92,860.99,0,0,0,2.23,1.92,860.99,0,0,0,41.04,84.27,2053.36,6.77,1.98,292.47,0,0,0,1.57,2.05,1305.73,2.13,1.4,657.28,45.53,17.03,374.04,0.02,0.03,1500,2.74,0.85,310.22,5,2.93,586,0,0,0,0,0,0,1.08,0.56,518.52,0.05,0.01,200,0.03,0.04,1333.33,21.95,7.1,323.46,0.45,0.16,355.56,0,0,0,2.46,15.23,17.7,0.2,0.29,0
2,2013,14,Chhattisgarh,Bastar,642.79,1265.91,1969.4,0.97,1.75,1804.12,0,0,0,0,0,0,2.19,1.59,726.03,0,0,0,42.38,99.48,2347.33,6.45,1.62,251.16,0,0,0,1.71,1.39,812.87,2.18,1.37,628.44,43.38,15.53,358,0.03,0.05,1666.67,2.02,0.56,277.23,4.85,2.9,597.94,0,0,0,0,0,0,1.02,0.52,509.8,0.01,0,0,0.01,0.01,1000,20.29,6.67,328.73,0.52,0.14,269.23,0,0,0,2.4,16.17,18.56,0.21,0.31,0
2,2014,14,Chhattisgarh,Bastar,646.7,1377.04,2129.33,0.81,1.86,2296.3,0,0,0,0,0,0,2.2,2.09,950,0,0,0,43.1,86.93,2016.94,6.39,1.68,262.91,0,0,0,1.65,2.11,1278.79,2.17,1.38,635.94,44.79,16.19,361.46,0.03,0.04,1333.33,2.84,1.15,404.93,4.92,2.82,573.17,0,0,0,0,0,0,0.96,0.48,500,0.05,0.01,200,0.03,0.03,1000,21.21,7.06,332.86,0.61,0.33,540.98,0,0,0,0,0,0,0.22,0.31,0
2,2015,14,Chhattisgarh,Bastar,644.56,664.46,1030.87,0.84,1.75,2083.33,0,0,0,0,0,0,1.67,1.52,910.18,0,0,0,41.36,88.98,2151.35,6.6,1.26,190.91,0,0,0,1.51,1.33,880.79,1.99,1.21,608.04,42.83,13.21,308.41,0.06,0.09,1500,3.2,1.23,384.38,4.03,2.58,640.2,0,0,0,0,0,0,0.87,0.35,402.3,0.04,0.01,250,0.01,0,555.56,19.05,5.54,290.81,0.34,0.1,298.52,0,0,0,0,0,0,0.21,0.28,0
2,2016,14,Chhattisgarh,Bastar,656.26,1294.97,1973.24,0.67,1.53,2265.58,0,0,0,0,0,0,1.67,2.34,1402.4,0,0,0,41.5,123.66,2979.5,6.52,1.61,246.09,0,0,0,0.76,0.91,1203.7,1.8,1.22,676.1,40.96,16.8,410.2,0.07,0.12,1811.59,3.01,1.4,465.74,3.72,2,537.14,0,0,0,0,0,250,0,0,0,0.04,0,45.45,0.01,0.01,1000,0,0,0,0.9,0.2,218.24,0,0,0,2.43,18.08,20.52,0.21,0.32,0
2,2017,14,Chhattisgarh,Bastar,660.36,801.82,1214.23,1.24,2.22,1783.13,0,0,0,0,0,0,1.49,1.79,1202.96,0,0,0,41.94,120.22,2866.36,6.3,1.44,229.02,0,0,0,1.39,1.29,925.85,1.64,0.66,400,40.68,15.07,370.54,0.06,0.08,1410.71,2.7,0.76,281.79,2.82,1.24,440.85,0,0,0,0,0,0,0.4,0.1,257.5,0.08,0,48.19,0.02,0.01,380.95,0,0,0,0.72,0.11,152.5,0,0,0,0,0,0,0.19,0.2,0
3,2010,14,Chhattisgarh,Raipur,915.4,1521.13,1661.71,11.3,15.2,1345.13,0.22,0.23,1045.45,0,0,0,0.22,0.23,1045.45,0,0,0,1.3,1.8,1384.62,0,0,0,0,0,0,14.6,15.1,1034.25,3.9,1.12,287.18,124.9,62.08,497.04,6.2,9.51,1533.87,3.39,1.35,398.23,4.1,1.7,414.63,0.2,0.1,500,0,0,0,4.1,1,243.9,0.72,0.28,388.89,0.5,0.8,1600,19.4,14.85,765.46,0.13,0.04,307.69,0,0,0,1.92,16.35,18.27,0.25,0.57,0.03
3,2011,14,Chhattisgarh,Raipur,958.01,1421.37,1483.67,10.54,17.89,1697.34,0.12,0.1,833.33,0,0,0,0.12,0.1,833.33,0.01,0.01,1000,2.12,3.6,1698.11,0.53,0.16,301.89,0,0,0,18.81,20.32,1080.28,3.8,1.23,323.68,64.7,31.14,481.3,6.14,8.06,1312.7,3,1.05,350,4.76,2.32,487.39,0.19,0.05,263.16,0,0,0,3.61,1.42,393.35,0.71,0.51,718.31,0.48,0.44,916.67,18.97,13.87,731.15,0.13,0.07,538.46,0,0,0,0,0,0,0.27,0.66,0
3,2012,14,Chhattisgarh,Raipur,993.68,1974.69,1987.25,9.76,17.75,1818.65,0.24,0.15,625,0,0,0,0.24,0.15,625,0.01,0.01,1000,10.21,17.05,1669.93,0.33,0.11,333.33,0,0,0,13.95,18.46,1323.3,3.71,1.51,407.01,111.18,48.74,438.39,6.54,9.58,1464.83,3.14,0.9,286.62,3.55,1.83,515.49,0.13,0.03,230.77,0,0,0,2.29,1.03,449.78,0.49,0.35,714.29,0.49,0.94,1918.37,19.22,14.17,737.25,0.22,0.08,363.64,0,0,0,1.81,16.45,18.28,0.32,0.68,0.02
3,2013,14,Chhattisgarh,Raipur,1009.22,1749.21,1733.23,9.21,15.86,1722.04,0,0,0,0,0,0,0.07,0.05,714.29,0,0,0,13.01,22.77,1750.19,0.17,0.05,294.12,0,0,0,13.69,13.04,952.52,3.4,1.28,376.47,105.11,50.59,481.31,6.4,9.38,1465.62,2.07,0.57,275.36,2.53,1.45,573.12,0.13,0.03,230.77,0,0,0,1.73,0.68,393.06,0.48,0,0,0.35,0.57,1628.57,13.69,12.89,941.56,0.23,0.08,347.83,0,0,0,1.73,16.9,18.61,0.26,0.72,0.02
3,2014,14,Chhattisgarh,Raipur,1034.99,2127.73,2055.8,10.38,21.24,2046.24,0,0,0,0,0,0,0.09,0.08,888.89,0.01,0.01,1000,14.75,29.67,2011.53,0.2,0.05,250,0,0,0,15.71,19.99,1272.44,2.98,1.3,436.24,102.89,83.32,809.8,6.28,8.26,1315.29,2.04,0.89,436.27,3.03,1.65,544.55,0.9,0.26,288.89,0,0,0,1.35,0.61,451.85,0.59,0.32,542.37,0.42,0.47,1119.05,14.76,12.53,848.92,0.24,0.14,583.33,0,0,0,0,0,0,0.28,0.65,0
3,2015,14,Chhattisgarh,Raipur,986.91,1412.83,1431.57,10.99,19.3,1756.14,0,0,0,0,0,0,0.02,0.02,1000,0,0,0,11.14,20.1,1804.31,0.19,0.05,263.16,0,0,0,14.21,12.88,906.4,2.9,0.93,320.69,97.67,43.11,441.42,7.06,8.63,1222.38,2.29,0.97,423.58,2.93,1.7,580.2,0.11,0.03,272.73,0,0,0,1,0.43,430,0.48,0.23,479.17,0.41,0.35,874.38,13.79,11.36,823.79,0.3,0.09,297.3,0.01,0,0,0,0,0,0.37,1.03,0.02
3,2016,14,Chhattisgarh,Raipur,1009.29,2432.48,2410.09,8.8,17.95,2038.28,0,0,0,0,0,0,0.02,0.02,1200,0.02,0.02,947.37,7.1,18.15,2557.48,0.17,0.04,255.95,0,0,0,16.66,22.35,1341.7,2.99,1.26,419.37,68.84,75.56,1097.59,4.7,8.14,1733.76,1.69,0.7,412.43,2.57,1.24,480.19,0.08,0.03,333.33,0,0,0,0,0,0,0.33,0,0,0.38,0.43,1115.49,0,0,0,0.34,0.07,201.17,0.01,0.01,408,1.39,18.29,19.68,0.41,0.82,0.05
3,2017,14,Chhattisgarh,Raipur,959.01,1520.95,1585.96,14.56,23.66,1625.61,0,0,0,0,0,0,0.02,0.02,1000,0,0,0,6.13,13.67,2228.27,0.19,0.04,229.17,0,0,0,31.38,34.48,1098.73,2.28,0.58,252.74,75.44,36.64,485.62,4.87,5.34,1097.62,1.52,0.43,283.45,3.85,1.7,442.65,0.05,0.02,320.75,0,0,333.33,0.41,0.08,204.38,0.14,0,0,0.15,0.09,558.44,0,0,0,0.27,0.05,174.91,0.03,0.01,360,0,0,0,0.51,0.65,0
4,2010,14,Chhattisgarh,Bilaspur,705.67,1333.61,1889.83,24.88,30.13,1210.79,0.83,1.06,1276.24,0.23,0.2,869.57,0.83,1.06,1276.24,0,0,0,11.63,18.67,1606.28,0,0,0,0.23,0.12,521.74,19,17.32,911.49,10.57,4.76,450.88,134.42,101.79,757.23,5.89,10.34,1757.26,3.57,1.17,327.08,6.31,2.23,353.78,0.3,0.1,333.33,0,0,0,7.26,1.86,255.89,0.46,0.19,413.04,13.93,18.19,1305.61,38.95,34.37,882.56,1.18,0.27,232.46,0,0,0,2.18,18.2,20.37,1,1.04,0
4,2011,14,Chhattisgarh,Bilaspur,749.08,1557.35,2079.01,19.08,26.28,1377.75,0.76,0.49,643.05,0,0,0,0.76,0.49,643.05,0.01,0.01,1000,9.3,12.72,1368.1,0,0,0,0.24,0.17,708.33,38.22,36.18,946.7,8.08,3.92,485.47,71.9,42.11,585.68,3.03,4.29,1415.05,3.14,1.12,355.75,6.4,2.54,397.2,0.13,0.05,376.22,0.03,0.01,333.33,5.8,2.09,360.14,0.41,0.19,463.41,15.56,14.29,918.21,35.34,24.82,702.35,1.05,0.69,657.17,0,0,0,0,0,0,1.03,1.05,0
4,2012,14,Chhattisgarh,Bilaspur,747.27,1746.82,2337.61,18.7,27.31,1460.32,1.08,0.7,644.33,0,0,0,1.08,0.7,644.33,0.02,0.01,500,8.8,15.8,1795.44,0,0,0,0.23,0.11,478.26,38.36,42.67,1112.34,7.85,4.82,614.14,136.88,73.59,537.61,3,4.07,1356.29,3.12,0.86,275.97,5.72,2.34,409.38,0.17,0.06,347.02,0.04,0.01,250,5.37,2.22,414.5,0.38,0.17,447.37,15.85,23.47,1481.15,36.12,33.55,928.85,1.26,0.3,240.21,0,0,0,2.03,18.8,20.84,1.05,1.09,0
4,2013,14,Chhattisgarh,Bilaspur,726.15,1577.16,2171.95,19.88,26.97,1356.73,0,0,0,0,0,0,0.9,0.51,564.95,0.05,0.04,751.45,8.94,15.51,1734.72,0,0,0,0.23,0.2,869.57,38.6,28.77,745.2,7.81,4.66,596.16,133.43,85.24,638.83,2.98,4.13,1388.65,3.12,0.78,249.09,5.57,2.66,478.53,0.14,0.1,714.29,0.03,0.01,333.33,5.71,2.23,390.52,0.37,0,0,15.07,18.59,1233.7,35.07,28.99,826.73,1.49,0.36,237.88,0,0,0,1.99,18.74,20.73,1.05,1.11,0
4,2014,14,Chhattisgarh,Bilaspur,728.84,1683.92,2310.43,18.11,28.15,1554.83,0,0,0,0,0,0,0.76,0.59,779.04,0.05,0.03,515.04,9.03,15.57,1724.75,0,0,0,0.23,0.29,1260.87,41.53,41.18,991.55,7.75,5,645.52,130.13,135.05,1037.8,2.94,4.13,1404.76,3.05,1.34,438.87,5.8,2.6,447.27,0.19,0.07,368.42,0.03,0.01,303.95,5.08,1.99,390.79,0.35,0.17,485.71,16.48,9.6,582.25,34.82,20.23,581.06,1.86,1.18,633.11,0,0,0,0,0,0,0.98,1.08,0
4,2015,14,Chhattisgarh,Bilaspur,731.83,1340.65,1831.92,17.82,27.03,1516.74,0,0,0,0,0,0,0.79,0.7,889.83,0.02,0.01,500,8.62,12.22,1416.38,0,0,0,0.21,0.11,523.81,39.47,34.83,882.37,7.58,3.68,485.8,127.17,104.47,821.45,2.85,3.9,1370.52,2.88,1.02,352.01,5.5,2.54,461.88,0.24,0.11,458.33,0.03,0.01,303.95,4.17,1.6,383.46,0.35,0.18,514.29,16.24,9.07,558.26,32.94,18.29,555.1,4.29,0.96,224.31,0,0,0,0,0,0,0.98,1.02,0
4,2016,14,Chhattisgarh,Bilaspur,727.5,1858.19,2554.21,16.2,25.1,1549.23,0,0,0,0,0,0,0.68,0.98,1441.48,0.02,0.01,466.51,8.1,17.11,2111.81,0,0,0,0.16,0.15,920.25,40.64,45.33,1115.32,8.1,4.87,600.39,131.3,97.24,740.64,2.79,5.23,1872.89,2.74,1.05,384.52,4.95,1.96,394.97,0.04,0.02,380.95,0.11,0.03,272.73,0,0,0,0.34,0,0,14.01,14.19,1012.86,0,0,0,6.5,2.77,426.57,0,0,0,1.34,18.67,20.02,0.87,1.05,0
4,2017,14,Chhattisgarh,Bilaspur,727.94,1295.71,1779.97,15.8,21.72,1374.7,0,0,0,0,0,0,0.66,0.9,1373.28,0.02,0.01,437.5,7.61,15.83,2080.79,0,0,0,0.18,0.18,983.33,39.08,32.29,826.39,7.14,2.84,398.04,90.31,66.45,735.72,2.38,3.58,1504.8,2.54,0.73,289.36,4.44,1.68,377.81,0.11,0.03,292.04,0,0,333.33,1.63,0.39,238.66,0.3,0,0,13.94,5.17,371.22,0,0,0,7.57,0.83,109.36,0,0,0,0,0,0,0.6,0.79,0
5,2010,14,Chhattisgarh,Raigarh,435.05,598.26,1375.15,3.4,5.5,1617.65,0.1,0.3,3000,0.02,0,0,0.11,0.22,2000,0,0,0,7,11.9,1700,0,0,0,0.02,0.01,500,1.73,1.72,994.22,6.49,3.07,473.04,48.97,14.51,296.3,8.3,13.1,1578.31,3,1.2,400,6.2,2.3,370.97,0,0,0,0,0,0,1.5,0.4,266.67,2.9,1.13,389.66,0,0,0,46.26,22.17,479.25,0.62,0.11,177.42,0,0,0,1.64,15.11,16.76,3.07,1,0
5,2011,14,Chhattisgarh,Raigarh,421.32,602.66,1430.41,3.63,6.27,1727.27,0.11,0.09,818.18,0,0,0,0.11,0.09,818.18,0.04,0.02,500,6.84,10.67,1559.94,0.37,0.09,243.24,0.02,0.02,1000,1.64,1.66,1012.2,6.47,3.39,523.96,48.66,13.9,285.66,11.09,14.81,1335.44,3.17,1.49,470.03,6.3,2.84,450.79,0.02,0.01,500,0,0,0,1.36,0.53,389.71,2.09,0.44,210.53,0.01,0,0,46.42,23.88,514.43,0.35,0.2,571.43,0,0,0,0,0,0,3.11,1.04,0
5,2012,14,Chhattisgarh,Raigarh,422.65,641.28,1517.28,3.44,6.08,1767.44,0.1,0.08,800,0,0,0,0.1,0.08,800,0.35,0.14,400,6.33,11.84,1870.46,0.34,0.09,264.71,0.01,0.01,1000,1.66,2.03,1222.89,6.44,4,621.12,46.47,13.99,301.05,11.59,15.97,1377.91,3.17,1.06,334.38,6.34,3.09,487.38,0.02,0,0,0,0,0,1.29,0.59,457.36,2.04,0.43,210.78,0,0,0,46.53,24.86,534.28,0.28,0.09,321.43,0,0,0,1.58,15.09,16.67,2.89,1.02,0
5,2013,14,Chhattisgarh,Raigarh,418.44,580.76,1387.92,6.67,11.5,1724.14,0,0,0,0,0,0,0.13,0.09,692.31,0.04,0.02,500,6.55,14.33,2187.79,0.36,0.1,277.78,0.02,0.02,1000,1.66,1.4,843.37,7.72,5.09,659.33,43.98,13.15,299,11.39,17.66,1550.48,3.07,0.98,319.22,6.14,3.5,570.03,0.02,0.01,500,0,0,0,1.32,0.56,424.24,1.9,0,0,0,0,0,44.89,27.15,604.81,0.3,0.09,300,0,0,0,1.5,15.55,17.05,3.08,1.07,0
5,2014,14,Chhattisgarh,Raigarh,408.9,657.79,1608.68,3.62,7.5,2071.82,0,0,0,0,0,0,0.12,0.1,833.33,0.03,0.02,666.67,6.55,12.46,1902.29,0.34,0.09,264.71,0.02,0.02,1000,1.69,2.13,1260.36,7.22,4.74,656.51,45,14.4,320,11.31,16.39,1449.16,2.88,1.6,555.56,6.34,3.37,531.55,0.01,0,0,0,0,0,1.31,0.58,442.75,1.67,0.38,227.54,0.01,0,0,45.71,26.17,572.52,0.37,0.19,513.51,0,0,0,0,0,0,3.04,0.45,0
5,2015,14,Chhattisgarh,Raigarh,409.45,414.89,1013.29,3.56,6.15,1727.53,0,0,0,0,0,0,0.11,0.12,1090.91,0.03,0.02,666.67,6.5,10.94,1683.08,0.32,0.05,156.25,0.01,0.01,1000,1.59,1.13,710.69,7.39,3.51,474.97,43.98,14.27,324.43,11.03,14.73,1335.45,3.14,1.64,522.29,5.98,3.18,531.77,0.01,0,0,0,0,0,1.29,0.5,387.6,1.48,0.33,222.97,0.01,0,428.57,46.09,22.31,484.05,0.25,0.08,312.6,0,0,0,0,0,0,2.83,0.45,0
